rskpovth,sex,geo,year,deprivation_rate
Above 60%,Total,Finland,2006,0.5
Above 60%,Total,Finland,2007,0.5
Above 60%,Total,Finland,2008,0.5
Above 60%,Total,Finland,2009,0.5
Above 60%,Total,Finland,2010,0.7
Above 60%,Total,Finland,2011,0.5
Above 60%,Total,Finland,2012,0.5
Above 60%,Total,Finland,2013,0.5
Above 60%,Total,Finland,2014,0.5
Above 60%,Total,Finland,2015,0.5
Above 60%,Total,Finland,2016,0.4
Above 60%,Total,Finland,2017,0.5
Above 60%,Total,Finland,2018,0.7
Above 60%,Total,Finland,2019,0.8
Above 60%,Total,Finland,2020,0.8
Above 60%,Total,Finland,2023,0.7
Above 60%,Total,Sweden,2004,0.9
Above 60%,Total,Sweden,2005,0.8
Above 60%,Total,Sweden,2006,0.9
Above 60%,Total,Sweden,2007,0.8
Above 60%,Total,Sweden,2008,0.9
Above 60%,Total,Sweden,2009,1.2
Above 60%,Total,Sweden,2010,1.4
Above 60%,Total,Sweden,2011,1.4
Above 60%,Total,Sweden,2012,1.2
Above 60%,Total,Sweden,2013,1.1
Above 60%,Total,Sweden,2014,1.2
Above 60%,Total,Sweden,2015,1.5
Above 60%,Total,Sweden,2016,1.9
Above 60%,Total,Sweden,2017,1.6
Above 60%,Total,Sweden,2018,1.8
Above 60%,Total,Sweden,2019,1.5
Above 60%,Total,Sweden,2020,2.0
Above 60%,Total,Sweden,2023,1.5
Above 60%,Total,Iceland,2004,1.8
Above 60%,Total,Iceland,2005,1.3
Above 60%,Total,Iceland,2006,1.3
Above 60%,Total,Iceland,2007,1.3
Above 60%,Total,Iceland,2008,1.1
Above 60%,Total,Iceland,2009,1.6
Above 60%,Total,Iceland,2010,1.3
Above 60%,Total,Iceland,2011,1.8
Above 60%,Total,Iceland,2012,2.1
Above 60%,Total,Iceland,2013,2.3
Above 60%,Total,Iceland,2014,2.0
Above 60%,Total,Iceland,2015,2.1
Above 60%,Total,Iceland,2016,1.5
Above 60%,Total,Iceland,2017,1.6
Above 60%,Total,Iceland,2018,1.3
Above 60%,Total,Iceland,2019,2.7
Above 60%,Total,Iceland,2020,2.7
Above 60%,Total,Norway,2003,0.9
Above 60%,Total,Norway,2004,0.9
Above 60%,Total,Norway,2005,1.0
Above 60%,Total,Norway,2006,0.7
Above 60%,Total,Norway,2007,0.6
Above 60%,Total,Norway,2008,0.8
Above 60%,Total,Norway,2009,0.6
Above 60%,Total,Norway,2010,0.5
Above 60%,Total,Norway,2011,0.6
Above 60%,Total,Norway,2012,0.7
Above 60%,Total,Norway,2013,0.7
Above 60%,Total,Norway,2014,0.3
Above 60%,Total,Norway,2015,0.3
Above 60%,Total,Norway,2016,0.4
Above 60%,Total,Norway,2017,0.4
Above 60%,Total,Norway,2018,0.6
Above 60%,Total,Norway,2019,0.6
Above 60%,Total,Norway,2020,0.3
Above 60%,Total,Norway,2023,0.6
Above 60%,Total,Switzerland,2007,1.6
Above 60%,Total,Switzerland,2008,1.0
Above 60%,Total,Switzerland,2009,1.1
Above 60%,Total,Switzerland,2010,0.7
Above 60%,Total,Switzerland,2011,1.2
Above 60%,Total,Switzerland,2012,1.4
Above 60%,Total,Switzerland,2013,1.9
Above 60%,Total,Switzerland,2014,0.9
Above 60%,Total,Switzerland,2015,1.2
Above 60%,Total,Switzerland,2016,1.6
Above 60%,Total,Switzerland,2017,1.5
Above 60%,Total,Switzerland,2018,2.0
Above 60%,Total,Switzerland,2019,1.5
Above 60%,Total,Switzerland,2020,1.4
Above 60%,Total,Switzerland,2023,1.2
Above 60%,Total,Albania,2017,18.7
Above 60%,Total,Albania,2018,19.4
Above 60%,Total,Albania,2019,17.4
Above 60%,Total,Albania,2020,12.3
Above 60%,Total,Albania,2023,10.7
Above 60%,Total,Montenegro,2013,18.3
Above 60%,Total,Montenegro,2014,16.4
Above 60%,Total,Montenegro,2015,20.7
Above 60%,Total,Montenegro,2016,14.5
Above 60%,Total,Montenegro,2017,12.8
Above 60%,Total,Montenegro,2018,14.4
Above 60%,Total,Montenegro,2019,15.1
Above 60%,Total,Montenegro,2020,14.2
Above 60%,Total,Montenegro,2023,12.7
Above 60%,Total,North Macedonia,2011,9.8
Above 60%,Total,North Macedonia,2012,8.6
Above 60%,Total,North Macedonia,2013,7.1
Above 60%,Total,North Macedonia,2014,7.9
Above 60%,Total,North Macedonia,2015,6.8
Above 60%,Total,North Macedonia,2016,8.0
Above 60%,Total,North Macedonia,2017,6.7
Above 60%,Total,North Macedonia,2018,7.0
Above 60%,Total,North Macedonia,2019,6.4
Above 60%,Total,North Macedonia,2020,6.1
Above 60%,Total,North Macedonia,2023,4.3
Above 60%,Total,Serbia,2013,12.8
Above 60%,Total,Serbia,2014,14.7
Above 60%,Total,Serbia,2015,13.4
Above 60%,Total,Serbia,2016,12.4
Above 60%,Total,Serbia,2017,11.8
Above 60%,Total,Serbia,2018,8.4
Above 60%,Total,Serbia,2019,10.7
Above 60%,Total,Serbia,2020,6.0
Above 60%,Total,Serbia,2023,5.8
Above 60%,Total,Türkiye,2006,23.2
Above 60%,Total,Türkiye,2007,20.1
Above 60%,Total,Türkiye,2008,19.1
Above 60%,Total,Türkiye,2009,22.1
Above 60%,Total,Türkiye,2010,21.3
Above 60%,Total,Türkiye,2011,21.0
Above 60%,Total,Türkiye,2012,21.1
Above 60%,Total,Türkiye,2013,19.9
Above 60%,Total,Türkiye,2014,19.7
Above 60%,Total,Türkiye,2015,19.4
Above 60%,Total,Türkiye,2016,19.1
Above 60%,Total,Türkiye,2017,18.1
Above 60%,Total,Türkiye,2018,17.2
Above 60%,Total,Türkiye,2019,16.9
Above 60%,Total,Türkiye,2020,15.9
Above 60%,Total,Türkiye,2023,15.2
Above 60%,Total,United Kingdom,2005,1.4
Above 60%,Total,United Kingdom,2006,1.7
Above 60%,Total,United Kingdom,2007,1.8
Above 60%,Total,United Kingdom,2008,1.8
Above 60%,Total,United Kingdom,2009,2.1
Above 60%,Total,United Kingdom,2010,2.1
Above 60%,Total,United Kingdom,2011,2.6
Above 60%,Total,United Kingdom,2012,1.6
Above 60%,Total,United Kingdom,2013,2.3
Above 60%,Total,United Kingdom,2014,1.8
Above 60%,Total,United Kingdom,2015,1.6
Above 60%,Total,United Kingdom,2016,1.8
Above 60%,Total,United Kingdom,2017,0.7
Above 60%,Total,United Kingdom,2018,1.5
Above 60%,Total,Kosovo*,2018,15.9
