freq,unit,deg_urb,rskpovth,geo,year,pollution_rate
Annual,Percentage,Cities,Below 60%,Cyprus,2008,15.7
Annual,Percentage,Cities,Below 60%,Cyprus,2009,20.1
Annual,Percentage,Cities,Below 60%,Cyprus,2010,17.0
Annual,Percentage,Cities,Below 60%,Cyprus,2011,23.3
Annual,Percentage,Cities,Below 60%,Cyprus,2012,11.8
Annual,Percentage,Cities,Below 60%,Cyprus,2013,15.9
Annual,Percentage,Cities,Below 60%,Cyprus,2014,10.2
Annual,Percentage,Cities,Below 60%,Cyprus,2015,7.8
Annual,Percentage,Cities,Below 60%,Cyprus,2016,14.0
Annual,Percentage,Cities,Below 60%,Cyprus,2017,8.4
Annual,Percentage,Cities,Below 60%,Cyprus,2018,9.4
Annual,Percentage,Cities,Below 60%,Cyprus,2019,6.1
Annual,Percentage,Cities,Below 60%,Cyprus,2020,6.9
Annual,Percentage,Cities,Below 60%,Cyprus,2023,10.2
Annual,Percentage,Cities,Below 60%,Latvia,2005,33.2
Annual,Percentage,Cities,Below 60%,Latvia,2006,32.9
Annual,Percentage,Cities,Below 60%,Latvia,2007,41.6
Annual,Percentage,Cities,Below 60%,Latvia,2008,34.6
Annual,Percentage,Cities,Below 60%,Latvia,2009,34.8
Annual,Percentage,Cities,Below 60%,Latvia,2010,33.1
Annual,Percentage,Cities,Below 60%,Latvia,2011,30.5
Annual,Percentage,Cities,Below 60%,Latvia,2012,24.5
Annual,Percentage,Cities,Below 60%,Latvia,2013,19.1
Annual,Percentage,Cities,Below 60%,Latvia,2014,26.7
Annual,Percentage,Cities,Below 60%,Latvia,2015,21.5
Annual,Percentage,Cities,Below 60%,Latvia,2016,23.9
Annual,Percentage,Cities,Below 60%,Latvia,2017,21.9
Annual,Percentage,Cities,Below 60%,Latvia,2018,26.0
Annual,Percentage,Cities,Below 60%,Latvia,2019,19.4
Annual,Percentage,Cities,Below 60%,Latvia,2020,22.5
Annual,Percentage,Cities,Below 60%,Latvia,2023,19.1
Annual,Percentage,Cities,Below 60%,Lithuania,2005,26.9
Annual,Percentage,Cities,Below 60%,Lithuania,2006,25.6
Annual,Percentage,Cities,Below 60%,Lithuania,2007,29.5
Annual,Percentage,Cities,Below 60%,Lithuania,2008,16.6
Annual,Percentage,Cities,Below 60%,Lithuania,2009,17.7
Annual,Percentage,Cities,Below 60%,Lithuania,2010,16.9
Annual,Percentage,Cities,Below 60%,Lithuania,2011,21.7
Annual,Percentage,Cities,Below 60%,Lithuania,2012,21.3
Annual,Percentage,Cities,Below 60%,Lithuania,2013,25.8
Annual,Percentage,Cities,Below 60%,Lithuania,2014,18.4
Annual,Percentage,Cities,Below 60%,Lithuania,2015,31.1
Annual,Percentage,Cities,Below 60%,Lithuania,2016,27.2
Annual,Percentage,Cities,Below 60%,Lithuania,2017,26.4
Annual,Percentage,Cities,Below 60%,Lithuania,2018,21.6
Annual,Percentage,Cities,Below 60%,Lithuania,2019,22.4
Annual,Percentage,Cities,Below 60%,Lithuania,2020,22.9
Annual,Percentage,Cities,Below 60%,Lithuania,2023,13.3
Annual,Percentage,Cities,Below 60%,Luxembourg,2003,24.4
Annual,Percentage,Cities,Below 60%,Luxembourg,2004,28.5
Annual,Percentage,Cities,Below 60%,Luxembourg,2005,28.6
Annual,Percentage,Cities,Below 60%,Luxembourg,2006,29.8
Annual,Percentage,Cities,Below 60%,Luxembourg,2007,24.9
Annual,Percentage,Cities,Below 60%,Luxembourg,2008,22.0
Annual,Percentage,Cities,Below 60%,Luxembourg,2009,26.7
Annual,Percentage,Cities,Below 60%,Luxembourg,2010,21.1
Annual,Percentage,Cities,Below 60%,Luxembourg,2011,22.0
Annual,Percentage,Cities,Below 60%,Luxembourg,2012,25.0
Annual,Percentage,Cities,Below 60%,Luxembourg,2013,21.0
Annual,Percentage,Cities,Below 60%,Luxembourg,2014,27.8
Annual,Percentage,Cities,Below 60%,Luxembourg,2015,32.7
Annual,Percentage,Cities,Below 60%,Luxembourg,2016,16.6
Annual,Percentage,Cities,Below 60%,Luxembourg,2017,24.2
Annual,Percentage,Cities,Below 60%,Luxembourg,2018,14.0
Annual,Percentage,Cities,Below 60%,Luxembourg,2019,19.1
Annual,Percentage,Cities,Below 60%,Luxembourg,2020,17.0
Annual,Percentage,Cities,Below 60%,Luxembourg,2023,13.0
Annual,Percentage,Cities,Below 60%,Hungary,2005,29.6
Annual,Percentage,Cities,Below 60%,Hungary,2006,21.4
Annual,Percentage,Cities,Below 60%,Hungary,2007,18.7
Annual,Percentage,Cities,Below 60%,Hungary,2008,19.0
Annual,Percentage,Cities,Below 60%,Hungary,2009,22.6
Annual,Percentage,Cities,Below 60%,Hungary,2010,26.5
Annual,Percentage,Cities,Below 60%,Hungary,2011,17.1
Annual,Percentage,Cities,Below 60%,Hungary,2012,16.5
Annual,Percentage,Cities,Below 60%,Hungary,2013,18.5
Annual,Percentage,Cities,Below 60%,Hungary,2014,26.8
Annual,Percentage,Cities,Below 60%,Hungary,2015,21.7
Annual,Percentage,Cities,Below 60%,Hungary,2016,18.1
Annual,Percentage,Cities,Below 60%,Hungary,2017,25.4
Annual,Percentage,Cities,Below 60%,Hungary,2018,20.7
Annual,Percentage,Cities,Below 60%,Hungary,2019,27.0
Annual,Percentage,Cities,Below 60%,Hungary,2020,34.1
Annual,Percentage,Cities,Below 60%,Hungary,2023,15.4
Annual,Percentage,Cities,Below 60%,Malta,2005,33.1
Annual,Percentage,Cities,Below 60%,Malta,2006,43.0
Annual,Percentage,Cities,Below 60%,Malta,2007,38.0
Annual,Percentage,Cities,Below 60%,Malta,2008,34.3
Annual,Percentage,Cities,Below 60%,Malta,2009,43.1
Annual,Percentage,Cities,Below 60%,Malta,2010,45.8
Annual,Percentage,Cities,Below 60%,Malta,2011,39.7
Annual,Percentage,Cities,Below 60%,Malta,2012,39.8
Annual,Percentage,Cities,Below 60%,Malta,2013,41.3
Annual,Percentage,Cities,Below 60%,Malta,2014,39.0
Annual,Percentage,Cities,Below 60%,Malta,2015,30.1
Annual,Percentage,Cities,Below 60%,Malta,2016,32.3
Annual,Percentage,Cities,Below 60%,Malta,2017,26.5
Annual,Percentage,Cities,Below 60%,Malta,2018,32.3
Annual,Percentage,Cities,Below 60%,Malta,2019,33.4
Annual,Percentage,Cities,Below 60%,Malta,2020,30.1
Annual,Percentage,Cities,Below 60%,Malta,2023,43.1
Annual,Percentage,Cities,Below 60%,Netherlands,2005,18.4
Annual,Percentage,Cities,Below 60%,Netherlands,2006,24.1
Annual,Percentage,Cities,Below 60%,Netherlands,2007,18.8
Annual,Percentage,Cities,Below 60%,Netherlands,2008,17.5
Annual,Percentage,Cities,Below 60%,Netherlands,2009,22.1
Annual,Percentage,Cities,Below 60%,Netherlands,2010,22.2
Annual,Percentage,Cities,Below 60%,Netherlands,2011,15.8
Annual,Percentage,Cities,Below 60%,Netherlands,2012,22.9
Annual,Percentage,Cities,Below 60%,Netherlands,2013,21.8
Annual,Percentage,Cities,Below 60%,Netherlands,2014,20.1
Annual,Percentage,Cities,Below 60%,Netherlands,2015,17.5
Annual,Percentage,Cities,Below 60%,Netherlands,2016,21.0
Annual,Percentage,Cities,Below 60%,Netherlands,2017,23.9
Annual,Percentage,Cities,Below 60%,Netherlands,2018,23.0
Annual,Percentage,Cities,Below 60%,Netherlands,2019,25.0
Annual,Percentage,Cities,Below 60%,Netherlands,2020,23.7
Annual,Percentage,Cities,Below 60%,Netherlands,2023,21.7
Annual,Percentage,Cities,Below 60%,Austria,2003,7.7
Annual,Percentage,Cities,Below 60%,Austria,2004,11.8
Annual,Percentage,Cities,Below 60%,Austria,2005,13.1
Annual,Percentage,Cities,Below 60%,Austria,2006,13.8
Annual,Percentage,Cities,Below 60%,Austria,2007,18.5
Annual,Percentage,Cities,Below 60%,Austria,2008,14.4
Annual,Percentage,Cities,Below 60%,Austria,2009,11.8
Annual,Percentage,Cities,Below 60%,Austria,2010,12.3
Annual,Percentage,Cities,Below 60%,Austria,2011,14.2
Annual,Percentage,Cities,Below 60%,Austria,2012,13.6
Annual,Percentage,Cities,Below 60%,Austria,2013,19.2
Annual,Percentage,Cities,Below 60%,Austria,2014,11.7
Annual,Percentage,Cities,Below 60%,Austria,2015,18.2
Annual,Percentage,Cities,Below 60%,Austria,2016,16.8
Annual,Percentage,Cities,Below 60%,Austria,2017,13.9
Annual,Percentage,Cities,Below 60%,Austria,2018,11.9
Annual,Percentage,Cities,Below 60%,Austria,2019,19.5
Annual,Percentage,Cities,Below 60%,Austria,2020,16.1
Annual,Percentage,Cities,Below 60%,Austria,2023,9.7
Annual,Percentage,Cities,Below 60%,Poland,2005,23.0
Annual,Percentage,Cities,Below 60%,Poland,2006,25.5
Annual,Percentage,Cities,Below 60%,Poland,2007,23.1
Annual,Percentage,Cities,Below 60%,Poland,2008,23.6
Annual,Percentage,Cities,Below 60%,Poland,2009,22.2
Annual,Percentage,Cities,Below 60%,Poland,2010,20.9
Annual,Percentage,Cities,Below 60%,Poland,2011,22.1
Annual,Percentage,Cities,Below 60%,Poland,2012,23.2
Annual,Percentage,Cities,Below 60%,Poland,2013,23.2
Annual,Percentage,Cities,Below 60%,Poland,2014,26.9
Annual,Percentage,Cities,Below 60%,Poland,2015,18.0
Annual,Percentage,Cities,Below 60%,Poland,2016,17.7
Annual,Percentage,Cities,Below 60%,Poland,2017,20.4
Annual,Percentage,Cities,Below 60%,Poland,2018,17.7
Annual,Percentage,Cities,Below 60%,Poland,2019,20.0
Annual,Percentage,Cities,Below 60%,Poland,2023,13.0
Annual,Percentage,Cities,Below 60%,Portugal,2004,32.2
Annual,Percentage,Cities,Below 60%,Portugal,2005,30.4
Annual,Percentage,Cities,Below 60%,Portugal,2006,36.2
Annual,Percentage,Cities,Below 60%,Portugal,2007,40.5
Annual,Percentage,Cities,Below 60%,Portugal,2008,27.9
Annual,Percentage,Cities,Below 60%,Portugal,2009,33.2
Annual,Percentage,Cities,Below 60%,Portugal,2010,31.4
Annual,Percentage,Cities,Below 60%,Portugal,2011,29.0
Annual,Percentage,Cities,Below 60%,Portugal,2012,21.7
Annual,Percentage,Cities,Below 60%,Portugal,2013,20.4
Annual,Percentage,Cities,Below 60%,Portugal,2014,19.8
Annual,Percentage,Cities,Below 60%,Portugal,2015,22.8
Annual,Percentage,Cities,Below 60%,Portugal,2016,21.0
Annual,Percentage,Cities,Below 60%,Portugal,2017,21.3
Annual,Percentage,Cities,Below 60%,Portugal,2018,18.7
Annual,Percentage,Cities,Below 60%,Portugal,2019,17.7
Annual,Percentage,Cities,Below 60%,Portugal,2020,17.6
Annual,Percentage,Cities,Below 60%,Portugal,2023,20.0
Annual,Percentage,Cities,Below 60%,Romania,2007,34.4
Annual,Percentage,Cities,Below 60%,Romania,2008,37.0
Annual,Percentage,Cities,Below 60%,Romania,2009,37.6
Annual,Percentage,Cities,Below 60%,Romania,2010,35.4
Annual,Percentage,Cities,Below 60%,Romania,2011,34.7
Annual,Percentage,Cities,Below 60%,Romania,2012,27.5
Annual,Percentage,Cities,Below 60%,Romania,2013,19.6
Annual,Percentage,Cities,Below 60%,Romania,2014,20.0
Annual,Percentage,Cities,Below 60%,Romania,2015,13.1
Annual,Percentage,Cities,Below 60%,Romania,2016,6.0
Annual,Percentage,Cities,Below 60%,Romania,2017,25.7
Annual,Percentage,Cities,Below 60%,Romania,2018,21.2
Annual,Percentage,Cities,Below 60%,Romania,2019,24.2
Annual,Percentage,Cities,Below 60%,Romania,2020,16.9
Annual,Percentage,Cities,Below 60%,Romania,2023,20.8
Annual,Percentage,Cities,Below 60%,Slovenia,2005,32.7
Annual,Percentage,Cities,Below 60%,Slovenia,2006,30.2
Annual,Percentage,Cities,Below 60%,Slovenia,2007,28.0
Annual,Percentage,Cities,Below 60%,Slovenia,2008,25.3
Annual,Percentage,Cities,Below 60%,Slovenia,2009,26.0
Annual,Percentage,Cities,Below 60%,Slovenia,2010,17.7
Annual,Percentage,Cities,Below 60%,Slovenia,2011,18.7
Annual,Percentage,Cities,Below 60%,Slovenia,2012,22.0
Annual,Percentage,Cities,Below 60%,Slovenia,2013,19.8
Annual,Percentage,Cities,Below 60%,Slovenia,2014,17.3
Annual,Percentage,Cities,Below 60%,Slovenia,2015,18.8
Annual,Percentage,Cities,Below 60%,Slovenia,2016,19.8
Annual,Percentage,Cities,Below 60%,Slovenia,2017,22.1
Annual,Percentage,Cities,Below 60%,Slovenia,2018,15.1
Annual,Percentage,Cities,Below 60%,Slovenia,2019,16.4
Annual,Percentage,Cities,Below 60%,Slovenia,2020,14.4
Annual,Percentage,Cities,Below 60%,Slovenia,2023,19.0
Annual,Percentage,Cities,Below 60%,Slovakia,2005,13.3
Annual,Percentage,Cities,Below 60%,Slovakia,2006,22.5
Annual,Percentage,Cities,Below 60%,Slovakia,2007,30.8
Annual,Percentage,Cities,Below 60%,Slovakia,2008,26.3
Annual,Percentage,Cities,Below 60%,Slovakia,2009,26.7
Annual,Percentage,Cities,Below 60%,Slovakia,2010,29.5
Annual,Percentage,Cities,Below 60%,Slovakia,2011,18.6
Annual,Percentage,Cities,Below 60%,Slovakia,2012,15.9
Annual,Percentage,Cities,Below 60%,Slovakia,2013,8.2
Annual,Percentage,Cities,Below 60%,Slovakia,2014,19.7
Annual,Percentage,Cities,Below 60%,Slovakia,2015,6.3
Annual,Percentage,Cities,Below 60%,Slovakia,2016,14.3
Annual,Percentage,Cities,Below 60%,Slovakia,2017,23.6
Annual,Percentage,Cities,Below 60%,Slovakia,2018,4.6
Annual,Percentage,Cities,Below 60%,Slovakia,2019,9.2
Annual,Percentage,Cities,Below 60%,Slovakia,2020,11.3
Annual,Percentage,Cities,Below 60%,Slovakia,2023,30.8
Annual,Percentage,Cities,Below 60%,Finland,2004,21.0
Annual,Percentage,Cities,Below 60%,Finland,2005,19.1
Annual,Percentage,Cities,Below 60%,Finland,2006,16.5
Annual,Percentage,Cities,Below 60%,Finland,2007,18.6
Annual,Percentage,Cities,Below 60%,Finland,2008,21.2
Annual,Percentage,Cities,Below 60%,Finland,2009,14.0
Annual,Percentage,Cities,Below 60%,Finland,2010,12.2
Annual,Percentage,Cities,Below 60%,Finland,2011,11.2
Annual,Percentage,Cities,Below 60%,Finland,2012,10.3
Annual,Percentage,Cities,Below 60%,Finland,2013,12.4
Annual,Percentage,Cities,Below 60%,Finland,2014,12.9
Annual,Percentage,Cities,Below 60%,Finland,2015,10.1
Annual,Percentage,Cities,Below 60%,Finland,2016,7.9
Annual,Percentage,Cities,Below 60%,Finland,2017,10.0
Annual,Percentage,Cities,Below 60%,Finland,2018,13.3
Annual,Percentage,Cities,Below 60%,Finland,2019,9.2
