geo,year,crime_rate,noise_rate,pollution_rate,hpi_weight,happy_rate,deg_urb_Rural areas,deg_urb_Towns and suburbs,rskpovth_Below 60%,rskpovth_Total,crime_noise,poll_noise
Iceland,2018,8.0,17.4,10.2,8.2,8.5,False,False,True,False,139.2,177.47999999999996
Norway,2013,10.8,22.9,10.6,4.3,8.0,False,False,True,False,247.32,242.73999999999998
Norway,2018,8.5,24.0,10.9,1.6,7.9,False,False,True,False,204.0,261.6
Norway,2023,12.5,22.9,11.0,1.3,7.7,False,False,True,False,286.25,251.89999999999998
Switzerland,2018,13.1,24.7,15.2,3.0,8.0,False,False,True,False,323.57,375.44
Switzerland,2023,10.8,29.3,14.6,2.2,7.7,False,False,True,False,316.44000000000005,427.78
United Kingdom,2013,23.3,23.9,12.4,2.6,7.5,False,False,True,False,556.87,296.36
United Kingdom,2018,31.5,24.6,15.8,3.3,7.7,False,False,True,False,774.9000000000001,388.68000000000006
Belgium,2013,30.2,22.9,26.4,1.5,8.1,False,False,False,False,691.5799999999999,604.56
Belgium,2018,18.8,23.0,24.6,3.0,8.1,False,False,False,False,432.40000000000003,565.8000000000001
Belgium,2023,21.3,19.9,22.8,2.3,8.0,False,False,False,False,423.87,453.71999999999997
Bulgaria,2013,31.7,13.9,17.3,-2.2,6.2,False,False,False,False,440.63,240.47000000000003
Bulgaria,2018,27.9,12.3,18.4,6.6,6.9,False,False,False,False,343.17,226.32
Bulgaria,2023,20.7,12.0,12.7,9.9,7.1,False,False,False,False,248.39999999999998,152.39999999999998
Czechia,2013,16.5,16.4,18.7,0.0,8.1,False,False,False,False,270.59999999999997,306.67999999999995
Czechia,2018,12.5,19.4,16.6,8.6,8.2,False,False,False,False,242.49999999999997,322.04
Czechia,2023,11.6,19.9,12.7,-1.7,8.2,False,False,False,False,230.83999999999997,252.72999999999996
Denmark,2013,15.1,23.4,10.4,3.9,8.0,False,False,False,False,353.34,243.35999999999999
Denmark,2018,11.8,24.6,12.0,4.4,7.6,False,False,False,False,290.28000000000003,295.20000000000005
Denmark,2023,9.9,23.3,9.4,-3.8,7.5,False,False,False,False,230.67000000000002,219.02
Germany,2013,21.2,32.7,31.8,3.1,7.7,False,False,False,False,693.24,1039.8600000000001
Germany,2018,21.6,34.3,36.1,6.6,8.0,False,False,False,False,740.88,1238.23
Germany,2023,17.0,30.0,22.5,-8.4,7.5,False,False,False,False,510.0,675.0
Estonia,2013,14.9,16.1,11.7,10.7,7.6,False,False,False,False,239.89000000000001,188.37
Estonia,2018,8.5,10.4,9.7,5.9,7.9,False,False,False,False,88.4,100.88
Estonia,2023,6.9,13.0,8.1,5.9,7.7,False,False,False,False,89.7,105.3
Ireland,2013,15.6,11.3,5.1,1.2,7.5,False,False,False,False,176.28,57.63
Ireland,2018,15.3,14.0,9.7,10.2,8.4,False,False,False,False,214.20000000000002,135.79999999999998
Ireland,2023,10.8,11.0,9.0,3.1,7.7,False,False,False,False,118.80000000000001,99.0
Spain,2013,18.9,22.6,13.5,-9.1,7.5,False,False,False,False,427.14,305.1
Spain,2018,13.6,19.8,12.8,6.7,8.0,False,False,False,False,269.28000000000003,253.44000000000003
Spain,2023,15.2,26.4,12.2,4.0,7.6,False,False,False,False,401.28,322.08
France,2013,22.0,19.5,15.4,-1.9,7.6,False,False,False,False,429.0,300.3
France,2018,19.7,22.2,19.3,2.9,7.8,False,False,False,False,437.34,428.46
France,2023,22.0,29.4,23.1,-0.4,7.6,False,False,False,False,646.8,679.14
Croatia,2013,7.1,13.1,10.5,-3.9,8.3,False,False,False,False,93.00999999999999,137.54999999999998
Croatia,2018,4.7,11.8,10.0,6.1,8.0,False,False,False,False,55.46000000000001,118.0
Croatia,2023,2.6,8.5,6.5,11.9,8.1,False,False,False,False,22.1,55.25
Italy,2013,21.3,23.7,23.6,-6.5,7.2,False,False,False,False,504.81,559.32
Italy,2018,16.5,16.9,19.3,-0.6,7.8,False,False,False,False,278.84999999999997,326.16999999999996
Italy,2023,10.8,15.5,14.8,1.3,7.6,False,False,False,False,167.4,229.4
Cyprus,2013,15.2,26.3,14.1,-4.1,6.7,False,False,False,False,399.76,370.83
Cyprus,2018,16.8,19.9,9.0,-1.3,7.7,False,False,False,False,334.32,179.1
Cyprus,2023,10.8,22.2,12.3,9.2,7.9,False,False,False,False,239.76000000000002,273.06
Latvia,2013,18.4,20.2,22.2,6.9,7.6,False,False,False,False,371.67999999999995,448.44
Latvia,2018,17.5,21.4,24.7,9.6,7.8,False,False,False,False,374.5,528.5799999999999
Latvia,2023,11.6,18.7,21.8,3.7,7.4,False,False,False,False,216.92,407.66
Lithuania,2013,9.8,16.9,21.6,1.2,8.2,False,False,False,False,165.62,365.04
Lithuania,2018,5.0,21.2,22.9,7.3,7.3,False,False,False,False,106.0,485.47999999999996
Lithuania,2023,3.6,14.8,13.8,9.8,7.9,False,False,False,False,53.28,204.24
Luxembourg,2013,14.7,24.2,8.9,5.0,8.1,False,False,False,False,355.73999999999995,215.38
Luxembourg,2018,17.0,23.4,16.1,7.1,7.9,False,False,False,False,397.79999999999995,376.74
Luxembourg,2023,18.4,40.3,12.4,-9.1,7.5,False,False,False,False,741.5199999999999,499.71999999999997
Hungary,2013,13.3,14.3,17.3,-2.6,7.4,False,False,False,False,190.19000000000003,247.39000000000001
Hungary,2018,4.6,10.4,11.4,14.3,7.8,False,False,False,False,47.839999999999996,118.56
Hungary,2023,4.7,11.2,16.4,7.1,8.0,False,False,False,False,52.64,183.67999999999998
Malta,2013,13.6,31.5,43.0,-0.4,7.7,False,False,False,False,428.4,1354.5
Malta,2018,13.1,29.6,30.1,5.8,7.8,False,False,False,False,387.76,890.96
Malta,2023,8.8,36.8,42.9,6.2,7.6,False,False,False,False,323.84,1578.7199999999998
Netherlands,2013,23.1,28.3,18.5,-6.0,8.0,False,False,False,False,653.73,523.5500000000001
Netherlands,2018,21.9,32.0,18.2,9.3,7.7,False,False,False,False,700.8,582.4
Netherlands,2023,21.1,32.0,16.5,-1.9,7.6,False,False,False,False,675.2,528.0
Austria,2013,21.5,23.9,15.1,5.0,8.3,False,False,False,False,513.85,360.89
Austria,2018,18.4,24.3,14.3,6.0,8.5,False,False,False,False,447.12,347.49
Austria,2023,15.4,24.4,10.1,-2.9,7.9,False,False,False,False,375.76,246.43999999999997
Poland,2013,11.6,19.2,16.2,-4.4,8.0,False,False,False,False,222.72,311.03999999999996
Poland,2018,7.9,18.6,20.3,6.6,8.3,False,False,False,False,146.94000000000003,377.58000000000004
Poland,2023,5.9,13.6,11.6,8.8,8.0,False,False,False,False,80.24000000000001,157.76
Portugal,2013,18.8,29.1,17.7,-1.9,7.2,False,False,False,False,547.08,515.07
Portugal,2018,9.3,30.7,15.4,10.3,7.9,False,False,False,False,285.51,472.78
Portugal,2023,9.9,30.7,17.0,8.2,7.8,False,False,False,False,303.93,521.9
Romania,2013,18.0,38.2,25.3,-0.3,7.9,False,False,False,False,687.6,966.4600000000002
Romania,2018,14.5,27.0,22.7,5.6,8.6,False,False,False,False,391.5,612.9
Romania,2023,7.1,28.7,17.8,3.3,8.6,False,False,False,False,203.76999999999998,510.86
Slovenia,2013,17.1,16.4,18.4,-5.2,7.8,False,False,False,False,280.44,301.75999999999993
Slovenia,2018,12.2,19.8,20.0,8.7,8.4,False,False,False,False,241.56,396.0
Slovenia,2023,10.8,16.7,16.7,7.2,8.4,False,False,False,False,180.36,278.89
Slovakia,2013,12.4,18.0,18.4,0.8,7.9,False,False,False,False,223.20000000000002,331.2
Slovakia,2018,6.3,10.3,9.5,7.4,8.2,False,False,False,False,64.89,97.85000000000001
Slovakia,2023,2.7,8.7,3.8,-0.2,8.3,False,False,False,False,23.49,33.059999999999995
Finland,2013,12.5,17.8,10.5,1.2,8.5,False,False,False,False,222.5,186.9
Finland,2018,10.2,16.8,10.4,0.9,8.3,False,False,False,False,171.35999999999999,174.72000000000003
Finland,2023,16.3,27.7,13.3,-6.2,7.7,False,False,False,False,451.51,368.41
Sweden,2013,12.6,16.0,11.4,5.2,7.9,False,False,False,False,201.6,182.4
Sweden,2018,17.4,19.0,9.3,-0.9,7.8,False,False,False,False,330.59999999999997,176.70000000000002
Sweden,2023,13.2,12.1,5.7,-5.2,7.5,False,False,False,False,159.72,68.97
Iceland,2013,2.6,12.8,10.8,5.8,8.2,False,False,False,False,33.28,138.24
Iceland,2018,3.2,12.0,8.8,8.2,8.5,False,False,False,False,38.400000000000006,105.60000000000001
Norway,2013,5.5,11.8,7.9,4.3,8.0,False,False,False,False,64.9,93.22000000000001
Norway,2018,7.1,15.6,11.9,1.6,7.9,False,False,False,False,110.75999999999999,185.64000000000001
Norway,2023,9.0,15.2,9.8,1.3,7.7,False,False,False,False,136.79999999999998,148.96
Switzerland,2018,11.1,22.6,12.1,3.0,8.0,False,False,False,False,250.86,273.46000000000004
Switzerland,2023,12.9,22.9,9.4,2.2,7.7,False,False,False,False,295.40999999999997,215.26
United Kingdom,2013,21.9,18.5,10.0,2.6,7.5,False,False,False,False,405.15,185.0
United Kingdom,2018,30.6,22.9,16.4,3.3,7.7,False,False,False,False,700.74,375.55999999999995
Belgium,2013,31.9,24.8,28.1,1.5,8.1,False,False,False,True,791.12,696.8800000000001
Belgium,2018,21.2,25.5,27.2,3.0,8.1,False,False,False,True,540.6,693.6
Belgium,2023,23.0,20.8,24.1,2.3,8.0,False,False,False,True,478.40000000000003,501.28000000000003
Bulgaria,2013,32.2,15.3,18.4,-2.2,6.2,False,False,False,True,492.6600000000001,281.52
Bulgaria,2018,28.0,13.0,19.1,6.6,6.9,False,False,False,True,364.0,248.3
Bulgaria,2023,22.4,13.0,15.2,9.9,7.1,False,False,False,True,291.2,197.6
Czechia,2013,17.5,17.1,19.5,0.0,8.1,False,False,False,True,299.25,333.45000000000005
Czechia,2018,12.5,19.7,16.8,8.6,8.2,False,False,False,True,246.25,330.96
Czechia,2023,12.0,20.1,13.0,-1.7,8.2,False,False,False,True,241.20000000000002,261.3
Denmark,2013,15.6,25.1,10.0,3.9,8.0,False,False,False,True,391.56,251.0
Denmark,2018,13.2,26.8,13.1,4.4,7.6,False,False,False,True,353.76,351.08
Denmark,2023,10.9,24.2,10.7,-3.8,7.5,False,False,False,True,263.78,258.94
Germany,2013,22.9,34.4,32.6,3.1,7.7,False,False,False,True,787.7599999999999,1121.44
Germany,2018,23.0,35.5,36.5,6.6,8.0,False,False,False,True,816.5,1295.75
Germany,2023,17.1,30.1,22.3,-8.4,7.5,False,False,False,True,514.71,671.23
Estonia,2013,15.4,15.8,11.8,10.7,7.6,False,False,False,True,243.32000000000002,186.44000000000003
Estonia,2018,8.7,10.6,10.0,5.9,7.9,False,False,False,True,92.21999999999998,106.0
Estonia,2023,6.7,12.6,8.1,5.9,7.7,False,False,False,True,84.42,102.05999999999999
Ireland,2013,16.7,11.5,5.5,1.2,7.5,False,False,False,True,192.04999999999998,63.25
Ireland,2018,16.3,14.0,9.9,10.2,8.4,False,False,False,True,228.20000000000002,138.6
Ireland,2023,11.3,11.5,8.7,3.1,7.7,False,False,False,True,129.95000000000002,100.05
Spain,2013,19.3,23.2,13.7,-9.1,7.5,False,False,False,True,447.76,317.84
Spain,2018,14.8,21.0,13.5,6.7,8.0,False,False,False,True,310.8,283.5
Spain,2023,16.6,27.3,13.0,4.0,7.6,False,False,False,True,453.18000000000006,354.90000000000003
France,2013,23.7,21.4,16.2,-1.9,7.6,False,False,False,True,507.17999999999995,346.67999999999995
France,2018,20.4,23.5,20.1,2.9,7.8,False,False,False,True,479.4,472.35
France,2023,23.0,29.9,24.1,-0.4,7.6,False,False,False,True,687.6999999999999,720.59
Croatia,2013,6.6,13.5,10.8,-3.9,8.3,False,False,False,True,89.1,145.8
Croatia,2018,4.6,11.9,10.1,6.1,8.0,False,False,False,True,54.739999999999995,120.19
Croatia,2023,2.6,8.5,6.7,11.9,8.1,False,False,False,True,22.1,56.95
Italy,2013,22.0,24.9,24.9,-6.5,7.2,False,False,False,True,547.8,620.0099999999999
Italy,2018,17.2,17.5,19.1,-0.6,7.8,False,False,False,True,301.0,334.25
Italy,2023,10.6,14.9,14.2,1.3,7.6,False,False,False,True,157.94,211.57999999999998
Cyprus,2013,14.4,26.9,14.4,-4.1,6.7,False,False,False,True,387.36,387.36
Cyprus,2018,15.8,20.4,9.0,-1.3,7.7,False,False,False,True,322.32,183.6
Cyprus,2023,10.3,22.2,12.0,9.2,7.9,False,False,False,True,228.66,266.4
Latvia,2013,18.2,20.2,21.8,6.9,7.6,False,False,False,True,367.64,440.36
Latvia,2018,17.2,21.7,25.0,9.6,7.8,False,False,False,True,373.23999999999995,542.5
Latvia,2023,11.3,18.5,21.3,3.7,7.4,False,False,False,True,209.05,394.05
Lithuania,2013,10.1,17.9,22.1,1.2,8.2,False,False,False,True,180.79,395.59
Lithuania,2018,5.0,20.5,22.7,7.3,7.3,False,False,False,True,102.5,465.34999999999997
Lithuania,2023,4.2,15.2,13.7,9.8,7.9,False,False,False,True,63.839999999999996,208.23999999999998
Luxembourg,2013,14.3,26.1,10.8,5.0,8.1,False,False,False,True,373.23,281.88000000000005
Luxembourg,2018,19.0,25.0,15.7,7.1,7.9,False,False,False,True,475.0,392.5
Luxembourg,2023,19.5,42.4,12.5,-9.1,7.5,False,False,False,True,826.8,530.0
Hungary,2013,14.0,14.9,17.4,-2.6,7.4,False,False,False,True,208.6,259.26
Hungary,2018,5.6,11.1,12.2,14.3,7.8,False,False,False,True,62.16,135.42
Hungary,2023,5.0,11.3,16.3,7.1,8.0,False,False,False,True,56.5,184.19000000000003
Malta,2013,13.4,31.2,42.7,-0.4,7.7,False,False,False,True,418.08,1332.24
Malta,2018,13.4,29.5,30.5,5.8,7.8,False,False,False,True,395.3,899.75
Malta,2023,8.5,36.7,42.9,6.2,7.6,False,False,False,True,311.95000000000005,1574.43
Netherlands,2013,22.9,29.7,18.9,-6.0,8.0,False,False,False,True,680.13,561.3299999999999
Netherlands,2018,22.2,34.0,19.0,9.3,7.7,False,False,False,True,754.8,646.0
Netherlands,2023,21.6,33.7,17.3,-1.9,7.6,False,False,False,True,727.9200000000001,583.0100000000001
Austria,2013,21.2,24.6,15.9,5.0,8.3,False,False,False,True,521.52,391.14000000000004
Austria,2018,16.8,23.5,13.8,6.0,8.5,False,False,False,True,394.8,324.3
Austria,2023,14.4,24.3,10.0,-2.9,7.9,False,False,False,True,349.92,243.0
