freq,unit,na_item,geo,time,value
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2024,40600.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2025,40820.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,1995,3630.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,1996,3840.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,1997,3320.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,1998,3460.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,1999,3190.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2000,3350.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2001,3600.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2002,3830.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2003,4050.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2004,4340.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2005,4670.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2006,5010.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2007,5380.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2008,5730.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2009,5570.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2010,5690.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2011,5960.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2012,6070.0
