freq,purchase,unit,geo,year,hpi_weight
Annual,Total,"Annual average index, 2010=100",France,2019,111.14
Annual,Total,"Annual average index, 2010=100",France,2020,116.92
Annual,Total,"Annual average index, 2010=100",France,2021,124.3
Annual,Total,"Annual average index, 2010=100",France,2022,132.16
Annual,Total,"Annual average index, 2010=100",France,2023,131.6
Annual,Total,"Annual average index, 2010=100",France,2024,126.72
Annual,Total,"Annual average index, 2010=100",France,2025,127.61
Annual,Total,"Annual average index, 2010=100",Croatia,2008,112.38
Annual,Total,"Annual average index, 2010=100",Croatia,2009,106.76
Annual,Total,"Annual average index, 2010=100",Croatia,2010,100.0
Annual,Total,"Annual average index, 2010=100",Croatia,2011,100.18
Annual,Total,"Annual average index, 2010=100",Croatia,2012,98.61
Annual,Total,"Annual average index, 2010=100",Croatia,2013,94.71
Annual,Total,"Annual average index, 2010=100",Croatia,2014,93.22
Annual,Total,"Annual average index, 2010=100",Croatia,2015,90.53
Annual,Total,"Annual average index, 2010=100",Croatia,2016,91.33
Annual,Total,"Annual average index, 2010=100",Croatia,2017,94.82
Annual,Total,"Annual average index, 2010=100",Croatia,2018,100.61
Annual,Total,"Annual average index, 2010=100",Croatia,2019,109.63
Annual,Total,"Annual average index, 2010=100",Croatia,2020,118.03
Annual,Total,"Annual average index, 2010=100",Croatia,2021,126.66
Annual,Total,"Annual average index, 2010=100",Croatia,2022,145.46
Annual,Total,"Annual average index, 2010=100",Croatia,2023,162.83
Annual,Total,"Annual average index, 2010=100",Croatia,2024,179.72
Annual,Total,"Annual average index, 2010=100",Croatia,2025,205.0
Annual,Total,"Annual average index, 2010=100",Italy,2010,100.0
Annual,Total,"Annual average index, 2010=100",Italy,2011,101.4
Annual,Total,"Annual average index, 2010=100",Italy,2012,98.8
Annual,Total,"Annual average index, 2010=100",Italy,2013,92.4
Annual,Total,"Annual average index, 2010=100",Italy,2014,88.0
Annual,Total,"Annual average index, 2010=100",Italy,2015,84.7
Annual,Total,"Annual average index, 2010=100",Italy,2016,84.9
Annual,Total,"Annual average index, 2010=100",Italy,2017,84.0
Annual,Total,"Annual average index, 2010=100",Italy,2018,83.5
Annual,Total,"Annual average index, 2010=100",Italy,2019,83.4
Annual,Total,"Annual average index, 2010=100",Italy,2020,85.0
Annual,Total,"Annual average index, 2010=100",Italy,2021,87.2
Annual,Total,"Annual average index, 2010=100",Italy,2022,90.5
Annual,Total,"Annual average index, 2010=100",Italy,2023,91.6
Annual,Total,"Annual average index, 2010=100",Italy,2024,94.6
Annual,Total,"Annual average index, 2010=100",Italy,2025,98.4
Annual,Total,"Annual average index, 2010=100",Cyprus,2005,85.97
Annual,Total,"Annual average index, 2010=100",Cyprus,2006,96.17
Annual,Total,"Annual average index, 2010=100",Cyprus,2007,107.46
Annual,Total,"Annual average index, 2010=100",Cyprus,2008,113.52
Annual,Total,"Annual average index, 2010=100",Cyprus,2009,106.08
Annual,Total,"Annual average index, 2010=100",Cyprus,2010,100.0
Annual,Total,"Annual average index, 2010=100",Cyprus,2011,98.4
Annual,Total,"Annual average index, 2010=100",Cyprus,2012,95.39
Annual,Total,"Annual average index, 2010=100",Cyprus,2013,91.49
Annual,Total,"Annual average index, 2010=100",Cyprus,2014,89.88
Annual,Total,"Annual average index, 2010=100",Cyprus,2015,88.58
Annual,Total,"Annual average index, 2010=100",Cyprus,2016,88.42
Annual,Total,"Annual average index, 2010=100",Cyprus,2017,92.55
Annual,Total,"Annual average index, 2010=100",Cyprus,2018,91.3
Annual,Total,"Annual average index, 2010=100",Cyprus,2019,98.94
Annual,Total,"Annual average index, 2010=100",Cyprus,2020,104.07
Annual,Total,"Annual average index, 2010=100",Cyprus,2021,102.48
Annual,Total,"Annual average index, 2010=100",Cyprus,2022,109.14
Annual,Total,"Annual average index, 2010=100",Cyprus,2023,119.22
Annual,Total,"Annual average index, 2010=100",Cyprus,2024,127.95
Annual,Total,"Annual average index, 2010=100",Cyprus,2025,133.65
Annual,Total,"Annual average index, 2010=100",Latvia,2006,130.02
Annual,Total,"Annual average index, 2010=100",Latvia,2007,177.19
Annual,Total,"Annual average index, 2010=100",Latvia,2008,179.15
Annual,Total,"Annual average index, 2010=100",Latvia,2009,112.31
Annual,Total,"Annual average index, 2010=100",Latvia,2010,100.0
Annual,Total,"Annual average index, 2010=100",Latvia,2011,110.42
Annual,Total,"Annual average index, 2010=100",Latvia,2012,113.71
Annual,Total,"Annual average index, 2010=100",Latvia,2013,121.5
Annual,Total,"Annual average index, 2010=100",Latvia,2014,128.78
Annual,Total,"Annual average index, 2010=100",Latvia,2015,124.46
Annual,Total,"Annual average index, 2010=100",Latvia,2016,135.03
Annual,Total,"Annual average index, 2010=100",Latvia,2017,146.87
Annual,Total,"Annual average index, 2010=100",Latvia,2018,160.92
Annual,Total,"Annual average index, 2010=100",Latvia,2019,175.33
Annual,Total,"Annual average index, 2010=100",Latvia,2020,181.42
Annual,Total,"Annual average index, 2010=100",Latvia,2021,201.18
Annual,Total,"Annual average index, 2010=100",Latvia,2022,229.01
Annual,Total,"Annual average index, 2010=100",Latvia,2023,237.57
Annual,Total,"Annual average index, 2010=100",Latvia,2024,247.55
Annual,Total,"Annual average index, 2010=100",Latvia,2025,266.69
Annual,Total,"Annual average index, 2010=100",Lithuania,2006,111.93
Annual,Total,"Annual average index, 2010=100",Lithuania,2007,141.39
Annual,Total,"Annual average index, 2010=100",Lithuania,2008,154.1
Annual,Total,"Annual average index, 2010=100",Lithuania,2009,107.98
Annual,Total,"Annual average index, 2010=100",Lithuania,2010,100.0
Annual,Total,"Annual average index, 2010=100",Lithuania,2011,106.6
Annual,Total,"Annual average index, 2010=100",Lithuania,2012,106.36
Annual,Total,"Annual average index, 2010=100",Lithuania,2013,107.65
Annual,Total,"Annual average index, 2010=100",Lithuania,2014,114.57
Annual,Total,"Annual average index, 2010=100",Lithuania,2015,118.76
Annual,Total,"Annual average index, 2010=100",Lithuania,2016,125.18
Annual,Total,"Annual average index, 2010=100",Lithuania,2017,136.33
Annual,Total,"Annual average index, 2010=100",Lithuania,2018,146.29
Annual,Total,"Annual average index, 2010=100",Lithuania,2019,156.3
Annual,Total,"Annual average index, 2010=100",Lithuania,2020,167.66
Annual,Total,"Annual average index, 2010=100",Lithuania,2021,194.58
