freq,unit,deg_urb,rskpovth,geo,year,crime_rate
Annual,Percentage,Cities,Below 60%,Spain,2009,21.6
Annual,Percentage,Cities,Below 60%,Spain,2010,19.2
Annual,Percentage,Cities,Below 60%,Spain,2011,12.1
Annual,Percentage,Cities,Below 60%,Spain,2012,16.7
Annual,Percentage,Cities,Below 60%,Spain,2013,21.3
Annual,Percentage,Cities,Below 60%,Spain,2014,19.2
Annual,Percentage,Cities,Below 60%,Spain,2015,17.6
Annual,Percentage,Cities,Below 60%,Spain,2016,20.0
Annual,Percentage,Cities,Below 60%,Spain,2017,17.3
Annual,Percentage,Cities,Below 60%,Spain,2018,20.0
Annual,Percentage,Cities,Below 60%,Spain,2019,19.9
Annual,Percentage,Cities,Below 60%,Spain,2020,23.9
Annual,Percentage,Cities,Below 60%,Spain,2023,22.9
Annual,Percentage,Cities,Below 60%,France,2004,35.7
Annual,Percentage,Cities,Below 60%,France,2005,30.9
Annual,Percentage,Cities,Below 60%,France,2006,29.1
Annual,Percentage,Cities,Below 60%,France,2007,31.6
Annual,Percentage,Cities,Below 60%,France,2008,29.6
Annual,Percentage,Cities,Below 60%,France,2009,30.9
Annual,Percentage,Cities,Below 60%,France,2010,35.0
Annual,Percentage,Cities,Below 60%,France,2011,34.3
Annual,Percentage,Cities,Below 60%,France,2012,26.0
Annual,Percentage,Cities,Below 60%,France,2013,34.2
Annual,Percentage,Cities,Below 60%,France,2014,27.8
Annual,Percentage,Cities,Below 60%,France,2015,28.8
Annual,Percentage,Cities,Below 60%,France,2016,30.7
Annual,Percentage,Cities,Below 60%,France,2017,24.8
Annual,Percentage,Cities,Below 60%,France,2018,24.2
Annual,Percentage,Cities,Below 60%,France,2019,34.5
Annual,Percentage,Cities,Below 60%,France,2020,38.5
Annual,Percentage,Cities,Below 60%,France,2023,27.6
Annual,Percentage,Cities,Below 60%,Croatia,2010,5.5
Annual,Percentage,Cities,Below 60%,Croatia,2011,8.2
Annual,Percentage,Cities,Below 60%,Croatia,2012,8.3
Annual,Percentage,Cities,Below 60%,Croatia,2013,2.7
Annual,Percentage,Cities,Below 60%,Croatia,2014,4.9
Annual,Percentage,Cities,Below 60%,Croatia,2015,6.5
Annual,Percentage,Cities,Below 60%,Croatia,2016,3.9
Annual,Percentage,Cities,Below 60%,Croatia,2017,4.6
Annual,Percentage,Cities,Below 60%,Croatia,2018,4.5
Annual,Percentage,Cities,Below 60%,Croatia,2019,3.4
Annual,Percentage,Cities,Below 60%,Croatia,2020,3.8
Annual,Percentage,Cities,Below 60%,Croatia,2023,2.2
Annual,Percentage,Cities,Below 60%,Italy,2004,35.7
Annual,Percentage,Cities,Below 60%,Italy,2005,31.7
Annual,Percentage,Cities,Below 60%,Italy,2006,33.0
Annual,Percentage,Cities,Below 60%,Italy,2007,33.1
Annual,Percentage,Cities,Below 60%,Italy,2008,32.5
Annual,Percentage,Cities,Below 60%,Italy,2009,33.2
Annual,Percentage,Cities,Below 60%,Italy,2010,28.8
Annual,Percentage,Cities,Below 60%,Italy,2011,23.1
Annual,Percentage,Cities,Below 60%,Italy,2012,28.4
Annual,Percentage,Cities,Below 60%,Italy,2013,25.2
Annual,Percentage,Cities,Below 60%,Italy,2014,28.1
Annual,Percentage,Cities,Below 60%,Italy,2015,32.6
Annual,Percentage,Cities,Below 60%,Italy,2016,25.8
Annual,Percentage,Cities,Below 60%,Italy,2017,22.7
Annual,Percentage,Cities,Below 60%,Italy,2018,20.1
Annual,Percentage,Cities,Below 60%,Italy,2019,12.7
Annual,Percentage,Cities,Below 60%,Italy,2020,14.4
Annual,Percentage,Cities,Below 60%,Italy,2023,9.8
Annual,Percentage,Cities,Below 60%,Cyprus,2005,6.3
Annual,Percentage,Cities,Below 60%,Cyprus,2006,10.2
Annual,Percentage,Cities,Below 60%,Cyprus,2007,11.8
