freq,unit,quantile,hhcomp,geo,time,value
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2010,38.7
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2011,38.3
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2012,38.6
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2013,38.1
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2014,38.2
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2015,37.9
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2016,37.2
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2017,37.3
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2018,37.4
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2019,37.1
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2020,37.0
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2021,
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2022,
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2023,
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2024,
Annual,Percentage,Total,Total,Euro area - 18 countries (2014),2025,
Annual,Percentage,Total,Total,Belgium,2010,65.6
Annual,Percentage,Total,Total,Belgium,2011,72.0
Annual,Percentage,Total,Total,Belgium,2012,73.2
Annual,Percentage,Total,Total,Belgium,2013,72.7
Annual,Percentage,Total,Total,Belgium,2014,72.0
Annual,Percentage,Total,Total,Belgium,2015,71.2
Annual,Percentage,Total,Total,Belgium,2016,67.3
Annual,Percentage,Total,Total,Belgium,2017,65.0
Annual,Percentage,Total,Total,Belgium,2018,58.6
Annual,Percentage,Total,Total,Belgium,2019,58.8
Annual,Percentage,Total,Total,Belgium,2020,58.5
Annual,Percentage,Total,Total,Belgium,2021,59.2
Annual,Percentage,Total,Total,Belgium,2022,59.6
Annual,Percentage,Total,Total,Belgium,2023,59.2
Annual,Percentage,Total,Total,Belgium,2024,57.9
Annual,Percentage,Total,Total,Belgium,2025,57.0
Annual,Percentage,Total,Total,Bulgaria,2010,9.9
Annual,Percentage,Total,Total,Bulgaria,2011,9.6
Annual,Percentage,Total,Total,Bulgaria,2012,10.4
Annual,Percentage,Total,Total,Bulgaria,2013,9.4
Annual,Percentage,Total,Total,Bulgaria,2014,9.8
Annual,Percentage,Total,Total,Bulgaria,2015,10.7
Annual,Percentage,Total,Total,Bulgaria,2016,10.5
Annual,Percentage,Total,Total,Bulgaria,2017,11.1
Annual,Percentage,Total,Total,Bulgaria,2018,11.5
Annual,Percentage,Total,Total,Bulgaria,2019,11.5
Annual,Percentage,Total,Total,Bulgaria,2020,12.1
Annual,Percentage,Total,Total,Bulgaria,2021,11.8
Annual,Percentage,Total,Total,Bulgaria,2022,12.7
Annual,Percentage,Total,Total,Bulgaria,2023,13.7
Annual,Percentage,Total,Total,Bulgaria,2024,14.3
Annual,Percentage,Total,Total,Bulgaria,2025,15.8
Annual,Percentage,Total,Total,Czechia,2010,20.2
Annual,Percentage,Total,Total,Czechia,2011,21.7
Annual,Percentage,Total,Total,Czechia,2012,21.2
Annual,Percentage,Total,Total,Czechia,2013,21.2
Annual,Percentage,Total,Total,Czechia,2014,21.3
Annual,Percentage,Total,Total,Czechia,2015,22.1
Annual,Percentage,Total,Total,Czechia,2016,24.2
Annual,Percentage,Total,Total,Czechia,2017,25.6
Annual,Percentage,Total,Total,Czechia,2018,26.8
Annual,Percentage,Total,Total,Czechia,2019,27.3
Annual,Percentage,Total,Total,Czechia,2020,27.3
Annual,Percentage,Total,Total,Czechia,2021,27.2
Annual,Percentage,Total,Total,Czechia,2022,26.7
Annual,Percentage,Total,Total,Czechia,2023,27.1
Annual,Percentage,Total,Total,Czechia,2024,26.7
Annual,Percentage,Total,Total,Czechia,2025,27.5
Annual,Percentage,Total,Total,Denmark,2010,44.5
Annual,Percentage,Total,Total,Denmark,2011,45.8
Annual,Percentage,Total,Total,Denmark,2012,47.2
Annual,Percentage,Total,Total,Denmark,2013,45.3
Annual,Percentage,Total,Total,Denmark,2014,45.5
Annual,Percentage,Total,Total,Denmark,2015,44.6
Annual,Percentage,Total,Total,Denmark,2016,44.0
Annual,Percentage,Total,Total,Denmark,2017,43.6
Annual,Percentage,Total,Total,Denmark,2018,41.9
Annual,Percentage,Total,Total,Denmark,2019,42.6
Annual,Percentage,Total,Total,Denmark,2020,42.9
Annual,Percentage,Total,Total,Denmark,2021,42.5
Annual,Percentage,Total,Total,Denmark,2022,42.6
Annual,Percentage,Total,Total,Denmark,2023,43.1
Annual,Percentage,Total,Total,Denmark,2024,42.4
Annual,Percentage,Total,Total,Denmark,2025,42.4
Annual,Percentage,Total,Total,Germany,2010,36.3
Annual,Percentage,Total,Total,Germany,2011,36.5
Annual,Percentage,Total,Total,Germany,2012,36.3
Annual,Percentage,Total,Total,Germany,2013,35.7
Annual,Percentage,Total,Total,Germany,2014,36.6
Annual,Percentage,Total,Total,Germany,2015,35.7
Annual,Percentage,Total,Total,Germany,2016,35.3
Annual,Percentage,Total,Total,Germany,2017,35.4
Annual,Percentage,Total,Total,Germany,2018,36.0
Annual,Percentage,Total,Total,Germany,2019,35.3
Annual,Percentage,Total,Total,Germany,2020,35.3
Annual,Percentage,Total,Total,Germany,2021,34.2
Annual,Percentage,Total,Total,Germany,2022,33.4
Annual,Percentage,Total,Total,Germany,2023,33.0
Annual,Percentage,Total,Total,Germany,2024,33.1
Annual,Percentage,Total,Total,Germany,2025,33.3
Annual,Percentage,Total,Total,Estonia,2010,11.2
Annual,Percentage,Total,Total,Estonia,2011,26.0
Annual,Percentage,Total,Total,Estonia,2012,27.1
Annual,Percentage,Total,Total,Estonia,2013,22.9
Annual,Percentage,Total,Total,Estonia,2014,29.5
Annual,Percentage,Total,Total,Estonia,2015,29.2
Annual,Percentage,Total,Total,Estonia,2016,29.0
Annual,Percentage,Total,Total,Estonia,2017,29.3
Annual,Percentage,Total,Total,Estonia,2018,31.2
Annual,Percentage,Total,Total,Estonia,2019,29.9
Annual,Percentage,Total,Total,Estonia,2020,30.3
Annual,Percentage,Total,Total,Estonia,2021,27.9
Annual,Percentage,Total,Total,Estonia,2022,27.2
Annual,Percentage,Total,Total,Estonia,2023,25.7
Annual,Percentage,Total,Total,Estonia,2024,25.7
Annual,Percentage,Total,Total,Estonia,2025,26.6
Annual,Percentage,Total,Total,Ireland,2010,72.5
Annual,Percentage,Total,Total,Ireland,2011,71.9
Annual,Percentage,Total,Total,Ireland,2012,72.5
Annual,Percentage,Total,Total,Ireland,2013,71.9
Annual,Percentage,Total,Total,Ireland,2014,68.4
Annual,Percentage,Total,Total,Ireland,2015,70.5
Annual,Percentage,Total,Total,Ireland,2016,70.4
Annual,Percentage,Total,Total,Ireland,2017,69.6
Annual,Percentage,Total,Total,Ireland,2018,71.4
Annual,Percentage,Total,Total,Ireland,2019,68.8
Annual,Percentage,Total,Total,Ireland,2020,70.6
Annual,Percentage,Total,Total,Ireland,2021,69.8
Annual,Percentage,Total,Total,Ireland,2022,67.3
Annual,Percentage,Total,Total,Ireland,2023,66.0
Annual,Percentage,Total,Total,Ireland,2024,66.8
Annual,Percentage,Total,Total,Ireland,2025,66.0
Annual,Percentage,Total,Total,Greece,2010,11.7
Annual,Percentage,Total,Total,Greece,2011,11.2
Annual,Percentage,Total,Total,Greece,2012,10.8
Annual,Percentage,Total,Total,Greece,2013,9.8
Annual,Percentage,Total,Total,Greece,2014,10.5
Annual,Percentage,Total,Total,Greece,2015,9.9
Annual,Percentage,Total,Total,Greece,2016,10.2
Annual,Percentage,Total,Total,Greece,2017,10.3
Annual,Percentage,Total,Total,Greece,2018,10.4
Annual,Percentage,Total,Total,Greece,2019,10.7
Annual,Percentage,Total,Total,Greece,2020,10.9
Annual,Percentage,Total,Total,Greece,2021,11.8
