freq,citizen,agedef,age,unit,sex,geo,time,value
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2020,81918.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2021,83770.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2022,157537.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2023,135617.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2024,127664.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2013,57946.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2014,59013.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2015,64446.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2016,116867.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2017,112247.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2018,119489.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2019,129459.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2020,84221.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2021,57120.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2022,95374.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2023,116591.0
Annual,Total,Age reached during the year,Total,Number,Total,Greece,2024,132149.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2013,280772.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2014,305454.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2015,342114.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2016,414746.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2017,532132.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2018,643684.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2019,750480.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2020,467918.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2021,887960.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2022,1258894.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2023,1250991.0
Annual,Total,Age reached during the year,Total,Number,Total,Spain,2024,1288562.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2013,338752.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2014,340383.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2015,364221.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2016,377709.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2017,369621.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2018,387160.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2019,385596.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2020,331137.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2021,388513.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2022,490655.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2023,467548.0
Annual,Total,Age reached during the year,Total,Number,Total,France,2024,438626.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2013,10378.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2014,10638.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2015,11706.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2016,13985.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2017,15553.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2018,26029.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2019,37726.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2020,33414.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2021,35912.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2022,57972.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2023,69396.0
Annual,Total,Age reached during the year,Total,Number,Total,Croatia,2024,70391.0
