geo,year,noise_rate,pollution_rate,crime_rate,hpi_weight
Bulgaria,2020,8.788888888888888,12.822222222222223,18.72222222222222,90.62666666666667
Bulgaria,2023,9.177777777777777,11.755555555555555,15.811111111111112,124.33333333333333
Croatia,2010,12.666666666666666,9.777777777777779,4.444444444444445,68.05666666666666
Croatia,2011,11.177777777777777,7.455555555555555,3.9000000000000004,70.34666666666666
Croatia,2012,11.655555555555557,8.211111111111112,4.166666666666667,68.64666666666666
Croatia,2013,10.355555555555556,7.288888888888888,3.022222222222222,65.14666666666666
Croatia,2014,8.622222222222224,6.588888888888889,2.8333333333333335,64.86666666666666
Croatia,2015,8.655555555555557,6.333333333333333,3.466666666666667,62.54333333333333
Croatia,2016,8.655555555555557,7.422222222222222,3.3111111111111113,64.37333333333333
Croatia,2017,8.8,6.155555555555555,3.2666666666666666,67.79
Croatia,2018,8.333333333333334,6.711111111111111,2.822222222222222,72.61666666666666
Croatia,2019,8.11111111111111,6.088888888888889,2.677777777777778,79.91
Croatia,2020,7.911111111111111,5.5,2.511111111111111,85.37
Croatia,2023,6.677777777777778,4.355555555555556,1.4444444444444444,118.20333333333333
Cyprus,2005,32.388888888888886,20.644444444444446,7.688888888888889,91.515
Cyprus,2006,35.98888888888889,23.9,11.455555555555556,72.21333333333332
Cyprus,2007,35.8,23.755555555555556,13.488888888888889,80.16
Cyprus,2008,27.9,19.244444444444444,8.833333333333334,82.42999999999999
Cyprus,2009,30.166666666666668,20.87777777777778,8.177777777777779,73.08
Cyprus,2010,27.01111111111111,18.4,10.466666666666667,69.06666666666668
Cyprus,2011,26.22222222222222,19.322222222222223,14.155555555555557,69.29666666666667
Cyprus,2012,24.1,14.58888888888889,14.700000000000001,66.66333333333334
Cyprus,2013,26.855555555555554,16.266666666666666,14.788888888888888,63.56
Cyprus,2014,18.455555555555556,11.455555555555556,10.433333333333334,63.18333333333333
Cyprus,2015,16.955555555555556,10.266666666666667,12.600000000000001,62.35999999999999
Cyprus,2016,15.777777777777779,9.966666666666667,8.766666666666667,62.68
Cyprus,2017,15.988888888888889,10.18888888888889,11.577777777777778,67.24333333333333
Cyprus,2018,19.299999999999997,9.088888888888889,11.18888888888889,64.36
Cyprus,2019,13.766666666666667,7.2666666666666675,11.455555555555556,73.01333333333334
Cyprus,2020,12.81111111111111,7.800000000000001,10.511111111111111,75.58666666666666
Cyprus,2023,16.466666666666665,9.211111111111112,8.566666666666666,87.67333333333333
Czechia,2008,18.0,18.299999999999997,15.655555555555557,103.35
Czechia,2009,19.766666666666666,21.5,19.044444444444444,64.96666666666667
Czechia,2010,17.08888888888889,18.544444444444444,16.077777777777776,64.46666666666667
Czechia,2011,15.855555555555554,18.18888888888889,15.555555555555555,65.10000000000001
Czechia,2012,15.299999999999999,16.177777777777777,14.233333333333333,63.666666666666664
Czechia,2013,15.88888888888889,17.27777777777778,15.722222222222221,64.16666666666667
Czechia,2014,14.81111111111111,14.11111111111111,14.877777777777778,66.56666666666666
Czechia,2015,15.633333333333333,15.88888888888889,14.655555555555557,69.7
Czechia,2016,16.244444444444444,15.444444444444445,13.955555555555556,75.63333333333334
Czechia,2017,15.166666666666666,12.533333333333333,10.911111111111111,85.73333333333333
Czechia,2018,15.844444444444443,13.177777777777777,8.844444444444445,91.7
Czechia,2019,15.422222222222224,12.544444444444444,9.533333333333333,100.03333333333335
Czechia,2020,14.222222222222221,9.899999999999999,6.988888888888889,107.96666666666665
Czechia,2023,16.033333333333335,8.733333333333333,7.166666666666667,144.1
Denmark,2005,18.066666666666666,7.366666666666666,15.399999999999999,87.195
Denmark,2006,20.38888888888889,8.344444444444443,14.100000000000001,80.16
Denmark,2007,21.477777777777778,9.6,14.97777777777778,74.95666666666666
Denmark,2008,18.455555555555556,8.266666666666667,15.577777777777776,68.49666666666667
Denmark,2009,20.933333333333334,7.98888888888889,16.855555555555554,57.82333333333333
Denmark,2010,19.72222222222222,8.088888888888889,14.18888888888889,64.48333333333333
Denmark,2011,19.333333333333332,8.988888888888889,16.233333333333334,61.906666666666666
Denmark,2012,20.38888888888889,5.177777777777778,10.1,59.88666666666666
Denmark,2013,19.311111111111114,5.955555555555556,8.833333333333334,64.45
Denmark,2014,19.955555555555556,7.044444444444444,10.166666666666666,66.8
Denmark,2015,18.6,7.300000000000001,9.31111111111111,72.43666666666667
Denmark,2016,20.37777777777778,7.188888888888889,9.533333333333333,74.83999999999999
