currency,prod_veg,geo,year,selling_price,temperature_2m_mean,precipitation_sum,price_lag1,price_lag2
Euro,Rye,Croatia,2021,17.25,11.538630136986304,803.4,13.64,15.11
Euro,Rye,Croatia,2022,23.78,12.366575342465756,710.4,17.25,13.64
Euro,Rye,Croatia,2023,24.15,12.634520547945206,1182.9,23.78,17.25
Euro,Rye,Croatia,2024,15.51,13.059562841530056,1015.0,24.15,23.78
Euro,Soft wheat,Croatia,2017,13.89,11.992876712328766,932.5,12.19,15.23
Euro,Soft wheat,Croatia,2018,14.61,12.192876712328768,919.8,13.89,12.19
Euro,Soft wheat,Croatia,2019,14.99,12.374246575342466,1020.6,14.61,13.89
Euro,Soft wheat,Croatia,2020,13.94,12.118852459016392,921.3,14.99,14.61
Euro,Soft wheat,Croatia,2021,18.15,11.538630136986304,803.4,13.94,14.99
Euro,Soft wheat,Croatia,2022,29.77,12.366575342465756,710.4,18.15,13.94
Euro,Soft wheat,Croatia,2023,17.86,12.634520547945206,1182.9,29.77,18.15
Euro,Soft wheat,Croatia,2024,17.11,13.059562841530056,1015.0,17.86,29.77
Euro,Barley,Cyprus,2017,17.32,19.736438356164385,195.9,29.7,18.59
Euro,Barley,Cyprus,2018,18.9,20.601369863013694,330.6,17.32,29.7
Euro,Barley,Cyprus,2019,19.93,19.72958904109589,429.5,18.9,17.32
Euro,Barley,Cyprus,2020,17.75,20.09016393442623,337.2,19.93,18.9
Euro,Barley,Cyprus,2021,22.11,20.363561643835617,215.6,17.75,19.93
Euro,Barley,Cyprus,2022,36.62,19.656712328767124,228.0,22.11,17.75
Euro,Barley,Cyprus,2023,28.0,20.16739726027397,286.2,36.62,22.11
Euro,Barley,Cyprus,2024,23.54,20.880054644808745,318.8,28.0,36.62
Euro,Durum wheat,Cyprus,2017,21.82,19.736438356164385,195.9,31.2,24.8
Euro,Durum wheat,Cyprus,2018,26.03,20.601369863013694,330.6,21.82,31.2
Euro,Durum wheat,Cyprus,2019,22.94,19.72958904109589,429.5,26.03,21.82
Euro,Durum wheat,Cyprus,2020,22.43,20.09016393442623,337.2,22.94,26.03
Euro,Durum wheat,Cyprus,2021,25.7,20.363561643835617,215.6,22.43,22.94
Euro,Durum wheat,Cyprus,2022,44.42,19.656712328767124,228.0,25.7,22.43
Euro,Durum wheat,Cyprus,2023,30.98,20.16739726027397,286.2,44.42,25.7
Euro,Durum wheat,Cyprus,2024,32.87,20.880054644808745,318.8,30.98,44.42
Euro,Feed barley,Cyprus,2017,17.3,19.736438356164385,195.9,17.9,20.5
Euro,Feed barley,Cyprus,2018,20.2,20.601369863013694,330.6,17.3,17.9
Euro,Feed barley,Cyprus,2019,19.7,19.72958904109589,429.5,20.2,17.3
Euro,Feed barley,Cyprus,2020,18.28,20.09016393442623,337.2,19.7,20.2
Euro,Feed barley,Cyprus,2021,24.76,20.363561643835617,215.6,18.28,19.7
Euro,Feed barley,Cyprus,2022,37.52,19.656712328767124,228.0,24.76,18.28
Euro,Feed barley,Cyprus,2023,27.16,20.16739726027397,286.2,37.52,24.76
Euro,Feed barley,Cyprus,2024,22.67,20.880054644808745,318.8,27.16,37.52
Euro,Soft wheat,Cyprus,2022,38.52,19.656712328767124,228.0,23.79,19.66
Euro,Soft wheat,Cyprus,2023,25.37,20.16739726027397,286.2,38.52,23.79
Euro,Soft wheat,Cyprus,2024,23.46,20.880054644808745,318.8,25.37,38.52
Euro,Barley,Czechia,2017,14.51,10.092054794520548,613.3,14.91,16.61
Euro,Barley,Czechia,2018,15.32,11.403561643835618,412.0,14.51,14.91
Euro,Barley,Czechia,2019,17.41,11.113698630136986,604.9,15.32,14.51
Euro,Barley,Czechia,2020,15.91,10.791256830601093,761.4,17.41,15.32
Euro,Barley,Czechia,2021,16.69,9.351506849315069,680.7,15.91,17.41
Euro,Barley,Czechia,2022,27.6,10.772328767123287,683.1,16.69,15.91
Euro,Barley,Czechia,2023,26.0,11.405753424657536,771.4,27.6,16.69
Euro,Barley,Czechia,2024,22.85,11.671038251366122,714.6,26.0,27.6
Euro,Feed barley,Czechia,2017,12.42,10.092054794520548,613.3,12.06,13.31
Euro,Feed barley,Czechia,2018,14.31,11.403561643835618,412.0,12.42,12.06
Euro,Feed barley,Czechia,2019,15.35,11.113698630136986,604.9,14.31,12.42
Euro,Feed barley,Czechia,2020,13.31,10.791256830601093,761.4,15.35,14.31
Euro,Feed barley,Czechia,2021,16.15,9.351506849315069,680.7,13.31,15.35
Euro,Feed barley,Czechia,2022,25.12,10.772328767123287,683.1,16.15,13.31
Euro,Feed barley,Czechia,2023,18.96,11.405753424657536,771.4,25.12,16.15
Euro,Feed barley,Czechia,2024,14.69,11.671038251366122,714.6,18.96,25.12
Euro,Rye,Czechia,2017,14.59,10.092054794520548,613.3,13.87,14.37
Euro,Rye,Czechia,2018,16.3,11.403561643835618,412.0,14.59,13.87
Euro,Rye,Czechia,2019,16.56,11.113698630136986,604.9,16.3,14.59
