name,domains,web_pages,country,alpha_two_code,state-province
University of Economics Varna,['ue-varna.bg'],['http://www.ue-varna.bg/'],Bulgaria,BG,
University of Food Technology,['uft-plovdiv.bg'],['http://www.uft-plovdiv.bg/'],Bulgaria,BG,
University of Plovdiv,['uni-plovdiv.bg'],['http://www.uni-plovdiv.bg/'],Bulgaria,BG,
"Sofia University ""St. Kliment Ohridski""",['uni-sofia.bg'],['http://www.uni-sofia.bg/'],Bulgaria,BG,
"""Angel Kanchev"" University of Ruse",['uni-ruse.bg'],['https://www.uni-ruse.bg/en/'],Bulgaria,BG,
"Academy of Economics ""Dimitur A. Tscenov""",['uni-svishtov.bg'],['http://www.uni-svishtov.bg/'],Bulgaria,BG,
Trakia University Stara Zagora,['uni-sz.bg'],['http://www.uni-sz.bg/'],Bulgaria,BG,
"Veliko Turnovo University ""Cyril and Methodius""",['uni-vt.bg'],['http://www.uni-vt.bg/'],Bulgaria,BG,
University of National and World Economy,['unwe.acad.bg'],['http://www.unwe.acad.bg/'],Bulgaria,BG,
Varna Free University,['vfu.bg'],['http://www.vfu.bg/'],Bulgaria,BG,
International University College,['vumk.eu'],['http://www.vumk.eu/'],Bulgaria,BG,
Zachodniopomorska School of Science and Engineering,['zut.edu.pl'],['http://www.zut.edu.pl/'],Poland,PL,
Vistula University,['vistula.edu.pl'],['https://www.vistula.edu.pl/'],Poland,PL,
University of Dubrovnik,['unidu.hr'],['http://www.unidu.hr/'],Croatia,HR,
University of Osijek,['unios.hr'],['http://www.unios.hr/'],Croatia,HR,
University of Pula,['unipu.hr'],['http://www.unipu.hr/'],Croatia,HR,
University of Rijeka,['uniri.hr'],['http://www.uniri.hr/'],Croatia,HR,
University of Split,['unist.hr'],['http://www.unist.hr/'],Croatia,HR,
University of Zadar,['unizd.hr'],['http://www.unizd.hr/'],Croatia,HR,
University of Zagreb,['unizg.hr'],['http://www.unizg.hr/'],Croatia,HR,
Zagreb School of Economics and Management,['zsem.hr'],['http://www.zsem.hr/'],Croatia,HR,
VERN' University of Applied Sciences,['vern.hr'],['http://www.vern.hr/'],Croatia,HR,
Zagreb University of Applied Sciences,['tvz.hr'],['http://www.tvz.hr/'],Croatia,HR,
Algebra University College,['algebra.hr'],['http://www.algebra.hr/'],Croatia,HR,
University North,['unin.hr'],['http://www.unin.hr/'],Croatia,HR,
Americanos College,['ac.ac.cy'],['http://www.ac.ac.cy/'],Cyprus,CY,
Cyprus International Institute of Management (CIIM),['ciim.ac.cy'],['http://www.ciim.ac.cy/'],Cyprus,CY,
Cyprus International University,['ciu.edu.tr'],['http://www.ciu.edu.tr/'],Cyprus,CY,
The CTL Eurocollege,['ctleuro.ac.cy'],['http://www.ctleuro.ac.cy/'],Cyprus,CY,
Cyprus University of Technology,['cut.ac.cy'],['http://www.cut.ac.cy/'],Cyprus,CY,
Cyprus College,['cycollege.ac.cy'],['http://www.cycollege.ac.cy/'],Cyprus,CY,
