BAS.INSTNAME,BAS.INSTNAMEENGL,GEO.SUBCOUNTRY,GEO.CITY,EXP.CURRPERSON.EURO,EXP.CURRNONPERSON.EURO,EXP.CURRTOTAL.EURO,REV.COREBUDGETPUBLIC.EURO,REV.CORETOTAL.EURO,REV.THIRDPARTYPUBLIC.EURO,REV.THIRDPARTYPRIVATE.EURO,REV.TUITFEES,REV.STUDFEES.EURO,PERS.ACAHCMEN,PERS.ACAHCWOMEN,PERS.ACAHCSENIORTOTAL,PERS.TOTALFTE,STUD.HIGHDEG,IND.RES.PHDINTENSITY
Î¤ÎµÏ‡Î½Î¿Î»Î¿Î³Î¹ÎºÏŒ Î Î±Î½ÎµÏ€Î¹ÏƒÏ„Î®Î¼Î¹Î¿ ÎšÏÏ€ÏÎ¿Ï…,Cyprus University of Technology,a,Limassol,36613990,12898375,49512365,,50931070,6057113,3179903,,8545604,265,205,50,569,3,0.024096385542168676
Î Î±Î½ÎµÏ€Î¹ÏƒÏ„Î®Î¼Î¹Î¿ Î›ÎµÏ…ÎºÏ‰ÏƒÎ¯Î±Ï‚,University of Nicosia,a,Nicosia,,,,,,,,,,384,277,67,628,3,0.005915568701263781
Î Î±Î½ÎµÏ€Î¹ÏƒÏ„Î®Î¼Î¹Î¿ Frederick,Frederick University,a,Nicosia,12146342,6708801,18855143,,,,,,,173,135,37,307,3,s
Î•Ï…ÏÏ‰Ï€Î±ÏŠÎºÏŒ Î Î±Î½ÎµÏ€Î¹ÏƒÏ„Î®Î¼Î¹Î¿ ÎšÏÏ€ÏÎ¿Ï…,European University - Cyprus,a,Nicosia,26451207,19163169,45614376,,,,,,,137,133,41,557,3,0.006590772917914919
Î Î±Î½ÎµÏ€Î¹ÏƒÏ„Î·Î¼Î¹Î¿ ÎÎµÎ±Ï€Î¿Î»Î·Ï‚,Neapolis University,a,Paphos,3972250,4363775,8336025,,,,,,,138,104,14,140,3,0.007587253414264037
The Cyprus Institute,The Cyprus Institute,a,Nicosia,11547263,3692910,15240173,,,,,,,34,9,19,55,3,s
Cyprus School of Molecular Medicine-The Cyprus Institute of Neurology and Genetics,Cyprus School of Molecular Medicine-The Cyprus Institute of Neurology and Genetics,a,Nicosia,,,,,,,,,,22,22,6,41,3,s
University of Central Lancashire - Cyprus,University of Central Lancashire - Cyprus,a,Larnaca,4484163,5630615,10114778,,,,,,,66,75,0,147,3,s
Akademie mÃºzickÃ½ch umÄ›nÃ­ v Praze,Academy of Performing Arts in Prague,a,Prague,18601.483086152308,13492.292951174804,32093.776037327112,25229.545075820693,32948.71688051991,,,1,,271,149,,489.54299999999995,3,0.05649717514124294
Akademie vÃ½tvarnÃ½ch umÄ›nÃ­ v Praze,Academy of Fine Arts in Prague,a,Prague,4326.320613231128,3852.857857023829,8179.178470254957,7178.886852191301,8297.533744375936,,,1,,51,44,,141.577,3,s
ÄŒeskÃ¡ zemÄ›dÄ›lskÃ¡ univerzita v Praze,Czech University of Life Sciences,,,,,,,,,,,,,,,,,
ÄŒeskÃ© vysokÃ© uÄenÃ­ technickÃ© v Praze,Czech Technical University in Prague,a,Prague,176227.54540909847,138440.8431928012,314668.3886018997,195013.83102816195,323747.41709715046,,,1,,2680,659,,4177.79,3,0.04351373402230079
JanÃ¡Äkova akademie mÃºzickÃ½ch umÄ›nÃ­ v BrnÄ›,JanÃ¡Äek Academy of Music and Performing Arts in Brno,a,Brno,9655.974004332611,4847.525412431261,14503.499416763872,12297.242126312281,14685.385769038492,,,1,,153,101,,330.80199999999996,3,0.06179775280898876
JihoÄeskÃ¡ univerzita v ÄŒeskÃ½ch BudÄ›jovicÃ­ch,University of South Bohemia in ÄŒeskÃ© BudÄ›jovice,a,ÄŒeskÃ© BudÄ›jovice,51284.11931344776,33141.893017830356,84426.01233127812,65568.57190468255,84938.46858856856,,,1,,649,452,,1532.0439999999999,3,0.03888888888888889
Masarykova univerzita,Masaryk University,a,Brno,210842.10964839192,158404.05765705716,369246.1673054491,245812.9478420263,372765.45575737377,,,1,,2097,1605,,5067.704,3,0.042559309849029475
Mendelova univerzita v BrnÄ›,Mendel University in Brno,a,Brno,49889.976670554905,48438.30194967505,98328.27862022996,60033.369438426926,100217.172137977,,,1,,579,383,,1648.746,3,0.0669772859638905
OstravskÃ¡ univerzita,University of Ostrava,a,Ostrava,36686.05232461256,25667.1388101983,62353.19113481086,49574.1543076154,68187.76037327111,,,1,,613,452,,1104.667,3,0.02422327540810953
SlezskÃ¡ univerzita v OpavÄ›,Silesian University in Opava,a,Opava,17927.51208131978,8744.79253457757,26672.30461589735,20228.128645225795,27266.372271288117,,,1,,178,135,,626.1809999999999,3,0.01310483870967742
TechnickÃ¡ univerzita v Liberci,Technical University of Liberec,a,Liberec,35228.37860356607,28217.29711714714,63445.67572071321,38127.103816030656,63445.67572071321,,,1,,482,301,,1084.589,3,0.0223463687150838
Univerzita Hradec KrÃ¡lovÃ©,University of Hradec KrÃ¡lovÃ©,a,Hradec KrÃ¡lovÃ©,23825.32077987002,23153.05782369605,46978.37860356607,29722.962839526743,47774.28761873021,,,1,,270,223,,689.142,3,0.01594896331738437
Univerzita J. E. PurkynÄ› v ÃšstÃ­ nad Labem,University of J. E. PurkynÄ› in ÃšstÃ­ nad Labem,a,ÃšstÃ­ nad Labem,27723.046158973502,19365.43909348442,47088.48525245792,34105.9406765539,47616.23062822862,,,1,,399,243,,913.0829999999999,3,0.020984081041968163
Univerzita Karlova,Charles University,a,Prague,352652.22462922847,253111.02316280617,605763.2477920346,394253.87435427424,610920.0133311114,,,1,,4963,3668,,9348.805,3,0.0827298392046152
Univerzita PalackÃ©ho v Olomouci,PalackÃ½ University,,,,,,,,,,,,,,,,,
Univerzita Pardubice,University of Pardubice,a,Pardubice,34212.797867022164,30172.30461589735,64385.10248291951,45005.58240293284,66172.09631728045,,,1,,417,271,,1165.554,3,0.023099850968703428
Univerzita TomÃ¡Å¡e Bati ve ZlÃ­nÄ›,Tomas Bata University in ZlÃ­n,a,ZlÃ­n,34173.59606732211,31258.915180803197,65432.51124812531,46111.314780869856,66914.0976503916,,,1,,343,250,,1000.22,3,0.026680896478121666
VeterinÃ¡rnÃ­ a farmaceutickÃ¡ univerzita Brno,University of Veterinary and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,
VysokÃ¡ Å¡kola bÃ¡ÅˆskÃ¡ - TechnickÃ¡ univerzita Ostrava,VÅ B â€“ Technical University of Ostrava,a,Ostrava,77547.61706382269,77763.24779203466,155310.86485585736,96189.92667888684,159121.56307282118,,,1,,971,401,,2096.791,3,0.046028880866425995
VysokÃ¡ Å¡kola ekonomickÃ¡ v Praze,University of Economics,,,,,,,,,,,,,,,,,
VysokÃ¡ Å¡kola chemicko-technologickÃ¡ v Praze,University of Chemistry and Technology,,,,,,,,,,,,,,,,,
VysokÃ¡ Å¡kola umÄ›lecko-prÅ¯myslovÃ¡ v Praze,Academy of Arts,,,,,,,,,,,,,,,,,
VysokÃ© uÄenÃ­ technickÃ© v BrnÄ›,Brno University of Technology,a,Brno,125206.0073321113,86904.14097650391,212110.14830861523,155200.88318613564,222210.8815197467,,,1,,1746,474,,3080.57,3,0.031781226903178125
ZÃ¡padoÄeskÃ¡ univerzita v Plzni,University of West Bohemia in Pilsen,a,PlzeÅˆ,64227.420429928345,48711.71471421429,112939.13514414264,77726.54557573737,114323.82102982835,,,1,,980,399,,1964.713,3,0.024423963133640553
MetropolitnÃ­ univerzita v Praze,,,,,,,,,,,,,,,,,,
PolicejnÃ­ akademie ÄŒeskÃ© republiky v Praze,Police Academy of the Czech Republic in Prague,a,Prague,,,,,,,,0,0,,,,,3,s
Univerzita obrany v BrnÄ›,University of Defence,a,Brno,,,,,,,,0,0,,,,,3,0.05862068965517241
PanevropskÃ¡ univerzita,,,,,,,,,,,,,,,,,,
VysokÃ¡ Å¡kola finanÄnÃ­ a sprÃ¡vnÃ­,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-UniversitÃ¤t Freiburg,University of Freiburg,a,Freiburg im Breisgau,272223469,99250751,371474220,,267453514,79153498,5722272,,3805051,3660,1816,336,4080,3,0.16755793226381463
Ruprecht-Karls-UniversitÃ¤t Heidelberg,Heidelberg University,a,Heidelberg,289319316,152218059,441537375,,337935349,78749747,7079935,,4980816,4347,2609,358,4417,3,0.2786144578313253
UniversitÃ¤t Hohenheim,University of Hohenheim,a,Stuttgart,123905486,37560934,161466420,,145126843,25110133,3147247,,2523644,673,740,129,1737,3,0.08112676056338028
Karlsruher Institut fÃ¼r Technologie (KIT) - Bereich Hochschule,Karlsruhe Institute of Technology,a,Karlsruhe,363888522,133347534,497236056,,349063134,119780857,17226032,,3988020,2965,1218,342,4854,3,0.1135633169059353
UniversitÃ¤t Konstanz,University of Konstanz,a,Konstanz,160822399,57070456,217892855,,168611457,44307931,5757749,,2540529,1172,1078,231,2157,3,0.08035714285714286
UniversitÃ¤t Mannheim,University of Mannheim,a,Mannheim,106407231,26857628,133264859,,109708163,16161973,1152883,,3066713,887,725,188,1445,3,0.042190669371196754
UniversitÃ¤t Stuttgart,University of Stuttgart,a,Stuttgart,393666442,147758357,541424799,,316075134,157181047,34305178,,9951796,3635,1392,314,5366,3,0.09498540726983284
Eberhard Karls UniversitÃ¤t TÃ¼bingen,TÃ¼bingen University,a,TÃ¼bingen,290641499,113966902,404608401,,285588501,105264286,7822921,,9960685,2997,2232,416,4100,3,0.15470573628010925
UniversitÃ¤t Ulm,Ulm University,a,Ulm,115205783,56113310,171319093,,140409355,36605012,6323360,,2984095,944,529,123,1599,3,0.2899813316739266
Zeppelin UniversitÃ¤t Friedrichshafen (Priv. H),Zeppelin University Friedrichshafen (Priv. H),a,Friedrichshafen,15263565,7029926,22293491,,0,1919041,1159640,,4840521,69,48,36,198,3,0.11538461538461539
Hochschule fÃ¼r jÃ¼dische Studien Heidelberg,Hochschule fÃ¼r jÃ¼dische Studien Heidelberg,a,Heidelberg,3367000,525552,3892552,,0,583943,228938,,1070,19,13,11,38,3,s
UniversitÃ¤t Augsburg,University of Augsburg,a,Augsburg,146610515,49891639,196502154,,235480847,19587236,1386667,,263996,1212,811,257,2041,3,0.04260174971472042
Otto-Friedrich-UniversitÃ¤t Bamberg,University of Bamberg,a,Bamberg,88232409,20988657,109221066,,96396144,9403913,1373193,,801873,562,563,168,1213,3,0.037754595131644315
